stop_id,stop_name,lat,lon,source_rows
HT_001,AM Sangaji - A,-7.775812,110.367982,1
HT_002,APMD - A,-7.791068,110.393349,1
HT_003,Ambarukmo - A,-7.783292,110.401786,1
HT_004,Among Rogo - A,-7.79846,110.384818,1
HT_005,Atakrib Jl. Magelang,-7.756425,110.362072,1
HT_006,BKD - A,-7.782465,110.356194,1
HT_007,BKPM,-7.800372,110.40235,1
HT_008,BPD Gamping,-7.801615,110.318669,1
HT_009,BRI Bantul,-7.88199,110.332318,1
HT_010,Babarsari - A,-7.77397,110.412218,1
HT_011,Badran,-7.788092,110.357905,1
HT_012,Bandara Adisujtipto,-7.784497,110.435712,1
HT_013,Banguntapan - A,-7.807797,110.402165,1
HT_014,Basen,-7.819092,110.395105,1
HT_015,Bayeman - A,-7.800346,110.337185,1
HT_016,Bhayangkara,-7.799309,110.362097,1
HT_017,Binamarga,-7.774443,110.430699,1
HT_018,Biologi UGM,-7.765289,110.376905,1
HT_019,Blok O,-7.797242,110.409909,1
HT_020,Borobudur Plaza,-7.778838,110.362029,1
HT_021,Boulevard UII,-7.687506,110.417273,1
HT_022,Budi Mulia Dua - A,-7.74294,110.434193,1
HT_023,Bulog,-7.784968,110.374708,1
HT_024,Cik Di Tiro,-7.782357,110.375104,1
HT_025,Daytrans Jl. Magelang,-7.756415,110.361995,1
HT_026,De Britto,-7.783094,110.393893,1
HT_027,Demak Ijo - A,-7.776496,110.332008,1
HT_028,Demangan,-7.783048,110.388672,1
HT_029,Dentes Godean,-7.779783,110.34374,1
HT_030,Diklat PU,-7.819036,110.395116,1
HT_031,Diponegoro,-7.782886,110.362552,1
HT_032,Dishub DIY - A,-7.777974,110.415027,1
HT_033,Disnakertrans - A,-7.769365,110.431166,1
HT_034,Dongkelan - A,-7.830195,110.353801,1
HT_035,Dukuh - A,-7.821686,110.355174,1
HT_036,Dusun Kledokan - A,-7.672637,110.417366,1
HT_037,Edotel Kalasan - A,-7.756754,110.482651,1
HT_038,Eks Bioskop Mataram,-7.79228,110.377912,1
HT_039,Eks Hotel Nataputra,-7.800884,110.348902,1
HT_040,Eks Menara Kopi - A,-7.789248,110.370131,1
HT_041,Eks Stasiun Bantul,-7.887393,110.329321,1
HT_042,FKG UGM - A,-7.771354,110.375119,1
HT_043,Flyover Lempuyangan,-7.790782,110.378018,1
HT_044,Galeria Mall,-7.782352,110.379319,1
HT_045,Gambiran - A,-7.816892,110.391045,1
HT_046,Gardu PLN - A,-7.739255,110.392461,1
HT_047,Gedung Wanita,-7.783187,110.39271,1
HT_048,Gembira Loka - A,-7.802259,110.399966,1
HT_049,Gereja Pugeran - A,-7.816599,110.355899,1
HT_050,Gudang SGM - A,-7.827155,110.389979,1
HT_051,Hayam Wuruk - A,-7.795676,110.37263,1
HT_052,Hokben Jakal - A,-7.757759,110.381951,1
HT_053,Hotel Pramesthi,-7.82158,110.365385,1
HT_054,Hotel Utara - A,-7.780412,110.360941,1
HT_055,Hotel Vidi,-7.761786,110.380208,1
HT_056,Hyundai,-7.783518,110.428348,1
HT_057,Indogrosir,-7.750821,110.362351,1
HT_058,Indomaret Klajuran - A,-7.772253,110.31175,1
HT_059,Indomaret Pokoh Sambiroto - A,-7.735554,110.434613,1
HT_060,Instiper - A,-7.764459,110.423632,1
HT_061,JEC,-7.798586,110.402922,1
HT_062,Janti Selatan,-7.785772,110.410482,1
HT_063,Janti Utara,-7.783211,110.411672,1
HT_064,Jayakarta,-7.783404,110.419409,1
HT_065,Jend. Sudirman - A,-7.782988,110.36955,1
HT_066,Jl. Mataram,-7.794209,110.36806,1
HT_067,Jl. Raya Kabunan - A,-7.713204,110.442836,1
HT_068,Jl. Suroto,-7.784524,110.374671,1
HT_069,Jlagran,-7.789467,110.358868,1
HT_070,Jogja City Mall - A,-7.753296,110.36222,1
HT_071,Jogjatronik,-7.806218,110.369302,1
HT_072,Jogokariyan - A,-7.82335,110.367736,1
HT_073,Jokteng Kulon,-7.813247,110.357346,1
HT_074,Jokteng Wetan,-7.814656,110.367221,1
HT_075,KHA Dahlan - A,-7.801281,110.360133,1
HT_076,KKP Yogyakarta,-7.782053,110.429895,1
HT_077,KR - A,-7.781692,110.450503,1
HT_078,KUA Depok - A,-7.755546,110.433793,1
HT_079,Kantor Kal. Sidoarum - A,-7.775581,110.325369,1
HT_080,Kantor Kal. Sukoharjo - A,-7.703843,110.425108,1
HT_081,Kantor Kal. Wedomartani - A,-7.7315,110.434826,1
HT_082,Kantor Kap. Bantul,-7.883543,110.331834,1
HT_083,Kantor Kap. Godean - A,-7.769368,110.300242,1
HT_084,Kantor Kap. Ngaglik,-7.724102,110.401272,1
HT_085,Kantor Kesbangpol - A,-7.856324,110.341402,1
HT_086,Kantor Pos Demak Ijo - A,-7.778029,110.335961,1
HT_087,Karangjati - A,-7.764031,110.369243,1
HT_088,Karangwaru - A,-7.772261,110.361327,1
HT_089,Katamso,-7.802722,110.369215,1
HT_090,Kentungan,-7.756098,110.384626,1
HT_091,Kopma UGM,-7.774326,110.375122,1
HT_092,Koramil Godean - A,-7.771013,110.306856,1
HT_093,Kosudgama,-7.77617,110.37861,1
HT_094,Kotabaru,-7.78466,110.3714,1
HT_095,Kricak,-7.774326,110.361168,1
HT_096,Kridosono,-7.787321,110.375367,1
HT_097,Lap. Karang - A,-7.822379,110.39653,1
HT_098,Lap. Kasihan - A,-7.824988,110.328143,1
HT_099,Lap. Klidon - A,-7.704223,110.426571,1
HT_100,Lapas Wirogunan - A,-7.803958,110.378249,1
HT_101,Lempuyangan,-7.790441,110.373639,1
HT_102,Letjen Suprapto,-7.790841,110.357437,1
HT_103,Lowanu - A,-7.81702,110.376028,1
HT_104,MAN 1,-7.777133,110.373921,1
HT_105,MAN 2 Sleman - A,-7.75038,110.434549,1
HT_106,MM UGM,-7.76502,110.377002,1
HT_107,MMTC Yogyakarta,-7.750655,110.362263,1
HT_108,Makam Gajah - A,-7.801959,110.387464,1
HT_109,Makam Prajurit,-7.807423,110.387956,1
HT_110,Malioboro 1,-7.790849,110.366122,1
HT_111,Malioboro 2,-7.795219,110.365592,1
HT_112,Malioboro 3,-7.7999,110.364998,1
HT_113,Manggung,-7.758049,110.386465,1
HT_114,Mangkubumi 1,-7.784763,110.366863,1
HT_115,Mangkubumi 2,-7.787674,110.3665,1
HT_116,McD,-7.779392,110.34209,1
HT_117,Metro Nogotirto - A,-7.777692,110.334364,1
HT_118,Mirota Godean - A,-7.781082,110.349717,1
HT_119,Monjali - A,-7.750564,110.367625,1
HT_120,Mualimin - A,-7.807875,110.350951,1
HT_121,Museum Bahari,-7.800978,110.349279,1
HT_122,Museum Biologi,-7.801629,110.37415,1
HT_123,Museum Perjuangan,-7.815141,110.371858,1
HT_124,Neutron Godean - A,-7.771875,110.310305,1
HT_125,Ngabean,-7.803719,110.356236,1
HT_126,Nitikan,-7.824797,110.379983,1
HT_127,Nyutran Tamansiswa,-7.810933,110.376957,1
HT_128,PKU Gamping,-7.80188,110.31679,1
HT_129,Pakualaman,-7.801649,110.375769,1
HT_130,Pakuwon Mall - A,-7.758157,110.399478,1
HT_131,Pandeyan,-7.815783,110.386402,1
HT_132,Park and Ride Gamping,-7.802454,110.314878,1
HT_133,Pasar Bantul - A,-7.885246,110.331045,1
HT_134,Pasar Gamping - A,-7.800627,110.323811,1
HT_135,Pasar Giwangan - A,-7.831511,110.390009,1
HT_136,Pasar Jangkang - A,-7.702111,110.447333,1
HT_137,Pasar Kalasan -  B,-7.769913,110.468993,1
HT_138,Pasar Kalasan - A,-7.769382,110.469632,1
HT_139,Pasar Kolombo - A,-7.745353,110.388874,1
HT_140,Pasar Kranggan Selatan,-7.782845,110.365659,1
HT_141,Pasar Legi - A,-7.809109,110.350094,1
HT_142,Pasar Niten - A,-7.838792,110.350526,1
