segment_id,dep_bin,bin_n,bin_median_min,bin_mean_min,seg_median_min,seg_mean_min,pred_smooth_min
HT_001->HT_077,240,4,2.0,2.0,2.0,2.0,2.0
HT_001->HT_077,360,10,2.0,2.0,2.0,2.0,2.0
HT_001->HT_077,480,10,2.0,2.0,2.0,2.0,2.0
HT_001->HT_077,600,10,2.0,2.0,2.0,2.0,2.0
HT_001->HT_077,720,10,2.0,2.0,2.0,2.0,2.0
HT_001->HT_077,840,10,2.0,2.0,2.0,2.0,2.0
HT_001->HT_077,960,10,2.0,2.0,2.0,2.0,2.0
HT_001->HT_077,1080,5,2.0,2.0,2.0,2.0,2.0
HT_001->HT_087,360,4,4.0,4.0,4.0,4.0,4.0
HT_001->HT_087,480,8,4.0,4.0,4.0,4.0,4.0
HT_001->HT_087,600,7,4.0,4.0,4.0,4.0,4.0
HT_001->HT_087,720,8,4.0,4.0,4.0,4.0,4.0
HT_001->HT_087,840,7,4.0,4.0,4.0,4.0,4.0
HT_001->HT_087,960,8,4.0,4.0,4.0,4.0,4.0
HT_001->HT_087,1080,7,4.0,4.0,4.0,4.0,4.0
HT_001->HT_087,1200,8,4.0,4.0,4.0,4.0,4.0
HT_001->HT_087,1320,3,4.0,4.0,4.0,4.0,4.0
HT_002->HT_251,360,3,2.0,2.0,2.0,2.0,2.0
HT_002->HT_251,480,3,2.0,2.0,2.0,2.0,2.0
HT_002->HT_251,600,3,2.0,2.0,2.0,2.0,2.0
HT_002->HT_251,720,3,2.0,2.0,2.0,2.0,2.0
HT_002->HT_251,840,3,2.0,2.0,2.0,2.0,2.0
HT_002->HT_251,960,3,2.0,2.0,2.0,2.0,2.0
HT_002->HT_251,1080,3,2.0,2.0,2.0,2.0,2.0
HT_002->HT_251,1200,3,2.0,2.0,2.0,2.0,2.0
HT_002->HT_256,360,3,1.0,1.0,1.0,1.0,1.0
HT_002->HT_256,480,3,1.0,1.0,1.0,1.0,1.0
HT_002->HT_256,600,3,1.0,1.0,1.0,1.0,1.0
HT_002->HT_256,720,3,1.0,1.0,1.0,1.0,1.0
HT_002->HT_256,840,3,1.0,1.0,1.0,1.0,1.0
HT_002->HT_256,960,3,1.0,1.0,1.0,1.0,1.0
HT_002->HT_256,1080,3,1.0,1.0,1.0,1.0,1.0
HT_003->HT_062,360,5,3.0,3.0,3.0,3.0,3.0
HT_003->HT_062,480,8,3.0,3.0,3.0,3.0,3.0
HT_003->HT_062,600,9,3.0,3.0,3.0,3.0,3.0
HT_003->HT_062,720,8,3.0,3.0,3.0,3.0,3.0
HT_003->HT_062,840,9,3.0,3.0,3.0,3.0,3.0
HT_003->HT_062,960,8,3.0,3.0,3.0,3.0,3.0
HT_003->HT_062,1080,8,3.0,3.0,3.0,3.0,3.0
HT_003->HT_062,1200,8,3.0,3.0,3.0,3.0,3.0
HT_003->HT_062,1320,3,3.0,3.0,3.0,3.0,3.0
HT_004->HT_077,360,10,1.0,1.0,1.0,1.0,1.0
HT_004->HT_077,480,10,1.0,1.0,1.0,1.0,1.0
HT_004->HT_077,600,10,1.0,1.0,1.0,1.0,1.0
HT_004->HT_077,720,10,1.0,1.0,1.0,1.0,1.0
HT_004->HT_077,840,10,1.0,1.0,1.0,1.0,1.0
HT_004->HT_077,960,10,1.0,1.0,1.0,1.0,1.0
HT_004->HT_077,1080,9,1.0,1.0,1.0,1.0,1.0
HT_004->HT_183,360,7,4.0,4.0,4.0,4.0,4.0
HT_004->HT_183,480,8,4.0,4.0,4.0,4.0,4.0
HT_004->HT_183,600,7,4.0,4.0,4.0,4.0,4.0
HT_004->HT_183,720,8,4.0,4.0,4.0,4.0,4.0
HT_004->HT_183,840,7,4.0,4.0,4.0,4.0,4.0
HT_004->HT_183,960,8,4.0,4.0,4.0,4.0,4.0
HT_004->HT_183,1080,7,4.0,4.0,4.0,4.0,4.0
