segment_id,seg_median_min,seg_mean_min,seg_n,seg_p05,seg_p95,route_id,route_median_min
HT_001->HT_077,2.0,2.0,69,2.0,2.0,2A,2.0
HT_001->HT_087,4.0,4.0,60,4.0,4.0,2B,2.0
HT_002->HT_251,2.0,2.0,24,2.0,2.0,4A,2.0
HT_002->HT_256,1.0,1.0,24,1.0,1.0,4B,2.0
HT_003->HT_062,3.0,3.0,67,3.0,3.0,1B,2.0
HT_004->HT_077,1.0,1.0,69,1.0,1.0,2A,2.0
HT_004->HT_183,4.0,4.0,60,4.0,4.0,2B,2.0
HT_005->HT_238,3.0,3.3636363636363638,22,3.0,5.0,L-1,2.0
HT_006->HT_144,1.0,1.0,25,1.0,1.0,13,2.0
HT_007->HT_013,2.0,2.0,35,2.0,2.0,3B,2.0
HT_007->HT_048,2.0,2.0,48,2.0,2.0,1B,2.0
HT_007->HT_237,2.0,2.0,35,2.0,2.0,10,2.0
HT_008->HT_132,2.0,2.0,46,2.0,2.0,6,2.0
HT_009->HT_097,2.0,2.0,73,2.0,2.0,15,2.0
HT_010->HT_010,2.0,2.0,48,2.0,2.0,1B,2.0
HT_010->HT_032,2.0,2.0,31,2.0,2.0,5B,3.0
HT_010->HT_124,3.0,3.0,19,3.0,3.0,5A,2.5
HT_010->HT_169,5.0,5.0,48,5.0,5.0,1B,2.0
HT_011->HT_062,2.0,2.0,46,2.0,2.0,6,2.0
HT_011->HT_098,2.0,2.0,46,2.0,2.0,6,2.0
HT_011->HT_196,1.0,1.0,22,1.0,1.0,L-1,2.0
HT_012->HT_056,4.0,4.9393939393939394,66,4.0,6.0,3B,2.0
HT_012->HT_076,3.0,3.23,30,2.6975000000000002,4.0,14,1.0
HT_013->HT_013,2.0,2.0,95,2.0,2.0,2B,2.0
HT_013->HT_048,2.0,2.0,69,2.0,2.0,2A,2.0
HT_013->HT_154,3.0,3.0,57,3.0,3.0,3A,2.0
HT_013->HT_235,1.0,1.0,95,1.0,1.0,2B,2.0
HT_014->HT_014,1.0,1.0,60,1.0,1.0,2B,2.0
HT_014->HT_045,2.0,2.0,60,2.0,2.0,2B,2.0
HT_015->HT_039,3.0,2.8857142857142857,35,2.0,3.0,10,2.0
HT_016->HT_079,3.0,3.0,85,3.0,3.0,1A,2.0
HT_016->HT_143,1.0,1.0,142,1.0,1.0,1B,2.0
HT_017->HT_212,2.0,2.0,35,2.0,2.0,3B,2.0
HT_018->HT_042,2.0,2.0,81,2.0,2.0,3A,2.0
HT_019->HT_063,3.0,3.0,142,3.0,3.0,1A,2.0
HT_020->HT_124,2.0,2.0,79,2.0,2.0,2B,2.0
HT_021->HT_021,1.0,1.0,130,1.0,1.0,12,1.0
HT_021->HT_217,1.0,1.0,71,1.0,1.0,12,1.0
HT_021->HT_273,2.0,1.9333333333333333,60,1.0,2.0,12,1.0
HT_022->HT_059,1.0,1.0366666666666664,30,1.0,1.3024999999999969,14,1.0
HT_024->HT_077,3.0,3.0,141,3.0,3.0,2B,2.0
HT_024->HT_194,1.0,1.2077922077922079,231,1.0,2.0,2A,2.0
HT_025->HT_070,1.0,1.0,22,1.0,1.0,L-1,2.0
HT_026->HT_003,2.0,2.0,67,2.0,2.0,1B,2.0
HT_026->HT_256,2.0,2.0,24,2.0,2.0,4A,2.0
HT_027->HT_083,4.0,4.0,37,4.0,4.0,8,2.0
HT_027->HT_263,2.0,2.0,37,2.0,2.0,8,2.0
HT_028->HT_026,5.0,3.791208791208791,91,2.0,5.0,1B,2.0
HT_028->HT_028,2.0,2.0,24,2.0,2.0,4A,2.0
HT_029->HT_027,7.0,7.0,37,7.0,7.0,8,2.0
HT_029->HT_149,2.0,1.76,25,1.0,2.0,13,2.0
HT_030->HT_201,1.0,1.0,69,1.0,1.0,2A,2.0
HT_031->HT_209,2.0,2.0,24,2.0,2.0,11,3.0
HT_032->HT_068,3.0,3.0,31,3.0,3.0,5B,3.0
HT_033->HT_190,3.0,3.0366666666666666,30,3.0,3.3024999999999967,14,1.0
HT_034->HT_142,2.0,2.0,73,2.0,2.0,15,2.0
HT_034->HT_150,2.0,2.0,73,2.0,2.0,15,2.0
HT_035->HT_049,1.0,1.0,102,1.0,1.0,15,2.0
HT_035->HT_150,2.0,2.0,110,2.0,2.0,15,2.0
HT_036->HT_173,1.0,1.0,71,1.0,1.0,12,1.0
HT_036->HT_177,1.0,1.1428571428571428,56,1.0,2.0,12,1.0
HT_037->HT_137,4.0,4.0,85,4.0,4.0,1A,2.0
HT_038->HT_077,3.0,3.0,69,3.0,3.0,2A,2.0
HT_039->HT_193,1.0,1.0,35,1.0,1.0,10,2.0
HT_040->HT_110,3.0,2.6296296296296298,27,2.0,3.0,13,2.0
HT_041->HT_254,1.0,1.0,73,1.0,1.0,15,2.0
HT_042->HT_042,2.0,2.2767857142857144,112,2.0,3.0,3A,2.0
HT_042->HT_055,8.0,8.0,31,8.0,8.0,5B,3.0
HT_042->HT_091,2.0,1.7037037037037037,81,1.0,2.0,3A,2.0
HT_042->HT_175,2.0,1.8333333333333333,120,1.0,2.0,12,1.0
HT_043->HT_101,1.0,1.3714285714285714,35,1.0,2.0,10,2.0
HT_044->HT_091,3.0,3.0,24,3.0,3.0,4B,2.0
HT_045->HT_030,1.0,1.0,69,1.0,1.0,2A,2.0
HT_045->HT_265,2.0,2.0,60,2.0,2.0,2B,2.0
HT_046->HT_130,2.0,2.0,76,2.0,2.0,3A,2.0
HT_046->HT_227,4.0,3.619047619047619,42,3.0,5.0,12,1.0
HT_047->HT_104,2.0,2.0,46,2.0,2.0,6,2.0
HT_047->HT_155,2.0,2.0,46,2.0,2.0,6,2.0
HT_047->HT_183,4.0,4.0,85,4.0,4.0,1A,2.0
HT_047->HT_234,2.0,2.2714285714285714,140,1.0,4.0,1A,2.0
