poi_id,nearest_stop_id,nearest_stop_name,walk_dist_m,walk_time_min
9,,,,
10,HT_250,Terminal Prambanan,465.33912052421863,5.816739006552733
24,,,,
343,HT_048,Gembira Loka - A,563.2310129114242,7.040387661392802
346,HT_213,Senopati,523.9556072119696,6.54944509014962
8,HT_240,Tamansari,385.98033114949146,4.824754139368643
418,,,,
126,,,,
158,,,,
457,,,,
13,HT_112,Malioboro 3,146.5346532221909,1.8316831652773864
121,HT_238,TVRI - A,845.8392814639777,10.57299101829972
90,HT_140,Pasar Kranggan Selatan,153.45736118066014,1.9182170147582518
26,,,,
395,,,,
347,HT_131,Pandeyan,92.67539948460349,1.1584424935575437
21,,,,
344,HT_119,Monjali - A,243.71750391416555,3.0464687989270693
249,,,,
368,,,,
45,HT_062,Janti Selatan,736.1693580891927,9.202116976114908
12,HT_075,KHA Dahlan - A,313.703245147686,3.921290564346075
5,,,,
371,,,,
19,,,,
353,HT_156,Polsek Depok Timur - A,707.0728844159694,8.838411055199618
464,,,,
221,,,,
466,,,,
171,,,,
52,HT_131,Pandeyan,100.95715025971082,1.2619643782463852
16,,,,
391,,,,
366,,,,
170,,,,
131,HT_119,Monjali - A,119.05782936855952,1.4882228671069941
96,HT_109,Makam Prajurit,653.9712818326204,8.174641022907755
373,,,,
460,,,,
36,,,,
46,HT_147,Pasar Serangan - A,142.6935420729868,1.783669275912335
25,HT_235,Suryotomo,168.24211007157086,2.1030263758946357
415,,,,
204,,,,
419,,,,
178,,,,
272,,,,
269,,,,
315,HT_112,Malioboro 3,186.212970144772,2.32766212680965
463,HT_223,Simpang Kenti - A,260.5366515925097,3.2567081449063715
108,HT_194,SMPN 1 - A,164.98248529494938,2.062281066186867
381,,,,
399,,,,
271,,,,
180,,,,
376,,,,
185,,,,
380,,,,
389,,,,
14,,,,
22,,,,
138,,,,
412,,,,
411,,,,
51,,,,
281,,,,
143,,,,
147,,,,
23,,,,
367,,,,
469,,,,
162,,,,
327,,,,
480,,,,
284,,,,
255,HT_250,Terminal Prambanan,878.7171977514018,10.983964971892522
39,,,,
35,,,,
18,,,,
462,,,,
283,,,,
382,,,,
156,,,,
42,HT_026,De Britto,279.101346667393,3.4887668333424124
76,HT_118,Mirota Godean - A,641.3467634347026,8.016834542933783
287,,,,
465,,,,
41,HT_112,Malioboro 3,305.9128385801936,3.82391048225242
68,,,,
31,,,,
358,HT_044,Galeria Mall,17.731633137508094,0.22164541421885117
449,,,,
177,,,,
207,,,,
184,,,,
413,,,,
383,,,,
410,,,,
175,,,,
15,HT_138,Pasar Kalasan - A,379.64272931148605,4.745534116393576
302,,,,
308,,,,
196,,,,
44,HT_094,Kotabaru,29.433278221830307,0.3679159777728788
428,,,,
398,,,,
370,,,,
224,,,,
397,,,,
38,,,,
29,,,,
166,,,,
6,,,,
225,,,,
289,,,,
27,,,,
369,,,,
181,,,,
228,HT_138,Pasar Kalasan - A,1009.2801656492124,12.616002070615156
472,,,,
172,,,,
54,HT_123,Museum Perjuangan,150.05794210287348,1.8757242762859185
37,,,,
335,HT_110,Malioboro 1,150.79287383777944,1.884910922972243
468,,,,
396,,,,
322,HT_119,Monjali - A,242.36807825410142,3.029600978176268
69,HT_229,Simpang Wojo,574.2352163748003,7.177940204685004
33,,,,
59,HT_075,KHA Dahlan - A,544.9564181019726,6.811955226274658
427,,,,
34,HT_066,Jl. Mataram,221.56373973087852,2.7695467466359815
359,HT_240,Tamansari,368.58049435759034,4.607256179469879
476,,,,
439,,,,
417,,,,
220,,,,
2,,,,
182,,,,
506,,,,
477,,,,
361,HT_189,SMK Seni - A,689.7172364125678,8.621465455157097
200,,,,
98,HT_089,Katamso,114.9863851046879,1.4373298138085988
275,,,,
319,HT_131,Pandeyan,69.21464295681517,0.8651830369601896
311,,,,
294,,,,
232,,,,
324,HT_112,Malioboro 3,166.58787159906905,2.082348394988363
297,,,,
384,,,,
374,,,,
230,,,,
56,,,,
40,,,,
149,HT_009,BRI Bantul,783.4452978020344,9.793066222525429
429,,,,
48,HT_024,Cik Di Tiro,34.58291274888769,0.4322864093610962
55,HT_210,Sanata Dharma,230.12778157886407,2.876597269735801
3,,,,
475,,,,
7,,,,
213,,,,
155,HT_242,Tegal Gendu - A,298.77827543045066,3.734728442880633
286,,,,
312,,,,
218,,,,
510,,,,
372,,,,
174,,,,
53,HT_122,Museum Biologi,31.533729497461234,0.39417161871826545
107,HT_240,Tamansari,321.66805075472945,4.020850634434118
364,,,,
497,,,,
350,HT_240,Tamansari,351.4022319332325,4.392527899165406
214,HT_008,BPD Gamping,356.659346273923,4.458241828424038
217,,,,
416,,,,
483,,,,
432,HT_212,Selokan Mataram Maguwo,129.5817521161825,1.6197719014522813
