trip_id,route_id,direction_id,stop_id,next_stop_id,segment_id,stop_sequence,tod_min,dep_tod_min_mod,travel_time_min,dist_m
10_D0_T001,10,0,HT_134,HT_152,HT_134->HT_152,2,331.0,331.0,2.0,754.0737446586786
10_D0_T001,10,0,HT_015,HT_039,HT_015->HT_039,4,333.0,333.0,2.0,1292.2001908806324
10_D0_T001,10,0,HT_039,HT_193,HT_039->HT_193,5,335.0,335.0,1.0,356.23792128723494
10_D0_T001,10,0,HT_193,HT_120,HT_193->HT_120,6,336.0,336.0,2.0,553.6494717531107
10_D0_T001,10,0,HT_120,HT_240,HT_120->HT_240,7,338.0,338.0,1.0,598.3333594123592
10_D0_T001,10,0,HT_240,HT_075,HT_240->HT_075,8,339.0,339.0,2.0,1054.4423460175076
10_D0_T001,10,0,HT_075,HT_213,HT_075->HT_213,9,341.0,341.0,2.0,761.0878659805655
10_D0_T001,10,0,HT_213,HT_235,HT_213->HT_235,10,343.0,343.0,1.0,353.3463209925087
10_D0_T001,10,0,HT_235,HT_077,HT_235->HT_077,11,344.0,344.0,4.0,9155.531068522061
10_D0_T001,10,0,HT_077,HT_043,HT_077->HT_043,12,348.0,348.0,1.0,8049.367702751972
10_D0_T001,10,0,HT_043,HT_101,HT_043->HT_101,13,349.0,349.0,1.0,483.9161277594037
10_D0_T001,10,0,HT_101,HT_007,HT_101->HT_007,14,350.0,350.0,1.0,3350.237083042518
10_D0_T001,10,0,HT_007,HT_237,HT_007->HT_237,15,351.0,351.0,2.0,1542.5334493279713
10_D0_T001,10,0,HT_237,HT_191,HT_237->HT_191,16,353.0,353.0,1.0,1002.1309381595913
10_D0_T001,10,0,HT_191,HT_183,HT_191->HT_183,17,354.0,354.0,1.0,294.93871109738245
10_D0_T001,10,0,HT_183,HT_237,HT_183->HT_237,18,355.0,355.0,2.0,1109.7797711046592
10_D0_T001,10,0,HT_237,HT_241,HT_237->HT_241,19,357.0,357.0,2.0,1007.703779498143
10_D0_T001,10,0,HT_241,HT_192,HT_241->HT_192,20,359.0,359.0,1.0,753.7652235393344
10_D0_T001,10,0,HT_192,HT_110,HT_192->HT_110,21,360.0,360.0,2.0,1395.1844675874127
10_D0_T001,10,0,HT_110,HT_110,HT_110->HT_110,22,362.0,362.0,1.0,0.0
10_D0_T001,10,0,HT_110,HT_111,HT_110->HT_111,23,363.0,363.0,1.0,489.4173089442673
10_D0_T001,10,0,HT_111,HT_112,HT_111->HT_112,24,364.0,364.0,1.0,524.6009096261446
10_D0_T001,10,0,HT_112,HT_075,HT_112->HT_075,25,365.0,365.0,1.0,557.5223369048684
10_D0_T001,10,0,HT_075,HT_125,HT_075->HT_125,26,366.0,366.0,2.0,507.7428337078219
10_D0_T001,10,0,HT_125,HT_102,HT_125->HT_102,27,368.0,368.0,1.0,1438.0678534801084
10_D0_T001,10,0,HT_102,HT_184,HT_102->HT_184,28,369.0,369.0,1.0,1923.2755811559157
10_D0_T001,10,0,HT_184,HT_121,HT_184->HT_121,29,370.0,370.0,1.0,654.4823595688364
10_D0_T002,10,0,HT_134,HT_152,HT_134->HT_152,2,356.0,356.0,2.0,754.0737446586786
10_D0_T002,10,0,HT_015,HT_039,HT_015->HT_039,4,358.0,358.0,2.0,1292.2001908806324
10_D0_T002,10,0,HT_039,HT_193,HT_039->HT_193,5,360.0,360.0,1.0,356.23792128723494
10_D0_T002,10,0,HT_193,HT_120,HT_193->HT_120,6,361.0,361.0,2.0,553.6494717531107
10_D0_T002,10,0,HT_120,HT_240,HT_120->HT_240,7,363.0,363.0,1.0,598.3333594123592
10_D0_T002,10,0,HT_240,HT_075,HT_240->HT_075,8,364.0,364.0,2.0,1054.4423460175076
10_D0_T002,10,0,HT_075,HT_213,HT_075->HT_213,9,366.0,366.0,2.0,761.0878659805655
10_D0_T002,10,0,HT_213,HT_235,HT_213->HT_235,10,368.0,368.0,1.0,353.3463209925087
10_D0_T002,10,0,HT_235,HT_077,HT_235->HT_077,11,369.0,369.0,4.0,9155.531068522061
10_D0_T002,10,0,HT_077,HT_043,HT_077->HT_043,12,373.0,373.0,1.0,8049.367702751972
10_D0_T002,10,0,HT_043,HT_101,HT_043->HT_101,13,374.0,374.0,1.0,483.9161277594037
10_D0_T002,10,0,HT_101,HT_007,HT_101->HT_007,14,375.0,375.0,1.0,3350.237083042518
10_D0_T002,10,0,HT_007,HT_237,HT_007->HT_237,15,376.0,376.0,2.0,1542.5334493279713
10_D0_T002,10,0,HT_237,HT_191,HT_237->HT_191,16,378.0,378.0,1.0,1002.1309381595913
10_D0_T002,10,0,HT_191,HT_183,HT_191->HT_183,17,379.0,379.0,1.0,294.93871109738245
10_D0_T002,10,0,HT_183,HT_237,HT_183->HT_237,18,380.0,380.0,2.0,1109.7797711046592
10_D0_T002,10,0,HT_237,HT_241,HT_237->HT_241,19,382.0,382.0,2.0,1007.703779498143
10_D0_T002,10,0,HT_241,HT_192,HT_241->HT_192,20,384.0,384.0,1.0,753.7652235393344
10_D0_T002,10,0,HT_192,HT_110,HT_192->HT_110,21,385.0,385.0,2.0,1395.1844675874127
10_D0_T002,10,0,HT_110,HT_110,HT_110->HT_110,22,387.0,387.0,1.0,0.0
10_D0_T002,10,0,HT_110,HT_111,HT_110->HT_111,23,388.0,388.0,1.0,489.4173089442673
