kml_stop_name,lat,lon,route_refs,description_preview
AA YKPN,-7.786143,110.383474,1A|5A,1A _ Trans Jogja Tujuan / Destination => Demangan 5A _ Trans Jogja Tujuan / Destination => Demangan
Abu Bakar Ali,-7.789997,110.366368,1B,1B _ Trans Jogja Tujuan / Destination => Hotel Abadi
AM Sangaji - A,-7.775812,110.367982,2A,2A _ Trans Jogja Tujuan / Destination => Pasar Kranggan Timur
AM Sangaji - B,-7.777333,110.367723,2B,2B _ Trans Jogja Tujuan / Destination => Batas Kota Jll. Monjali - B
Ambarukmo - A,-7.783292,110.401786,1A|5B,1A _ Trans Jogja Tujuan / Destination => Gedung Wanita 5B _ Trans Jogja Tujuan / Destination => Gedung Wanita
Ambarukmo - B,-7.783186,110.402438,1A|5A,1A _ Trans Jogja Tujuan / Destination => Janti Selatan 5A _ Trans Jogja Tujuan / Destination => Janti Selatan
Among Rogo - A,-7.79846,110.384818,2A,2A _ Trans Jogja Tujuan / Destination => Mandala Krida - A
Among Rogo - B,-7.798493,110.384852,2B,2B _ Trans Jogja Tujuan / Destination => Makam Gajah - A
APMD - A,-7.791068,110.393349,4A,4A _ Trans Jogja Tujuan / Destination => Timoho - A
APMD - B,-7.791594,110.393248,4B,4B _ Trans Jogja Tujuan / Destination => UIN Sunan Kalijaga - B
Atakrib Jl. Magelang,-7.756425,110.362072,5A|9|L-1,5A _ Trans Jogja Tujuan / Destination => TVRI - A 9 _ Trans Jogja Tujuan / Destination => TVRI - A L-1 _ Trans Jogja Tujuan / Destination => TVRI - A
Babarsari - A,-7.77397,110.412218,1B|5A,1B _ Trans Jogja Tujuan / Destination => Kledokan 5A _ Trans Jogja Tujuan / Destination => STIE YKPN - A
Babarsari - B,-7.77392,110.412099,5B,5B _ Trans Jogja Tujuan / Destination => Dishub DIY - B
Badran,-7.788092,110.357905,2B|3B|8|9|11|L-1,2B _ Trans Jogja Tujuan / Destination => SMPN 14 3B _ Trans Jogja Tujuan / Destination => SMPN 14 8 _ Trans Jogja Tujuan / Destination => SMPN 14 9 _ Trans Jogja Tujuan / Destination => SMPN 14 11 _ T
Bandara Adisujtipto,-7.784497,110.435712,1A|1B|3A|3B|5B|14,1A _ Trans Jogja ! -- BERANGKAT / DEPARTURE -- ! Tujuan / Destination => Makam Sorogenen 1A _ Trans Jogja Tujuan / Destination => Hyundai 1B _ Trans Jogja ! -- BERANGKAT / DEPARTURE -- ! Tujuan / Dest
Banguntapan - A,-7.807797,110.402165,2A|3A,2A _ Trans Jogja Tujuan / Destination => Gembira Loka - B 3A _ Trans Jogja Tujuan / Destination => JEC
Banguntapan - B,-7.807293,110.402209,2B|3B,2B _ Trans Jogja Tujuan / Destination => Poltekkes BSI 3B _ Trans Jogja Tujuan / Destination => Poltekkes BSI
Basen,-7.819092,110.395105,2B,2B _ Trans Jogja Tujuan / Destination => Perintis Kemerdekaan - B
Batas Kota Jl. Monjali - A,-7.770487,110.368565,2A,2A _ Trans Jogja Tujuan / Destination => AM Sangaji - A
Batas Kota Jll. Monjali - B,-7.770645,110.368487,2B,2B _ Trans Jogja Tujuan / Destination => Karangjati - B
Bayeman - A,-7.800346,110.337185,10,10 _ Trans Jogja Tujuan / Destination => Eks Hotel Nataputra
Bayeman - B,-7.800401,110.337026,10,10 _ Trans Jogja Tujuan / Destination => Pelem Gurih - B
Bhayangkara,-7.799309,110.362097,3B|8|L-1,3B _ Trans Jogja Tujuan / Destination => Pasar Pathuk 8 _ Trans Jogja Tujuan / Destination => Pasar Pathuk L-1 _ Trans Jogja Tujuan / Destination => Pasar Pathuk
Binamarga,-7.774443,110.430699,3B|14,3B _ Trans Jogja Tujuan / Destination => Maguwo Sambilegi 14 _ Trans Jogja Tujuan / Destination => Maguwo Sambilegi
Biologi UGM,-7.765289,110.376905,3A|4B|12,3A _ Trans Jogja Tujuan / Destination => RS Sardjito - A 4B _ Trans Jogja Tujuan / Destination => RS Sardjito - A 12 _ Trans Jogja Tujuan / Destination => RS Sardjito - A
