Halte,Keberangkatan 1,Keberangkatan 2,Keberangkatan 3,Keberangkatan 4,Keberangkatan 5,Keberangkatan 6,Keberangkatan 7,Keberangkatan 8,Keberangkatan 9,Keberangkatan 10,Keberangkatan 11,Keberangkatan 12,Keberangkatan 13,Keberangkatan 14,Keberangkatan 15,Keberangkatan 16,Keberangkatan 17,Keberangkatan 18,Keberangkatan 19,Keberangkatan 20,Keberangkatan 21,Keberangkatan 22,Keberangkatan 23,Keberangkatan 24,Keberangkatan 25,Keberangkatan 26,Keberangkatan 27,Keberangkatan 28,Keberangkatan 29,Keberangkatan 30,Keberangkatan 31,Keberangkatan 32,Keberangkatan 33,Keberangkatan 34,Keberangkatan 35,Keberangkatan 36,Keberangkatan 37,Keberangkatan 38,Keberangkatan 39,Keberangkatan 40,Keberangkatan 41,Keberangkatan 42,Keberangkatan 43,Keberangkatan 44,Keberangkatan 45,Keberangkatan 46,Keberangkatan 47
Halte - Sanata Dharma Gejayan,05.03,05.05,05.06,05.09,05.11,05.12,05.14,05.16,05.18,05.24,05.26,05.28,05.31,05.33,05.34,05.36,05.37,05.39,05.41,05.44,05.47,05.49,05.51,05.53,05.55,05.59,06.02,06.05,06.07,06.09,06.11,06.12,06.14,06.17,06.19,06.21,06.25,06.27,06.29,06.31,06.33,06.35,06.38,06.40,06.43,06.45,05.00
Halte - Jl. Colombo (Samirono),05.13,05.15,05.16,05.19,05.21,05.22,05.24,05.26,05.28,05.34,05.36,05.38,05.41,05.43,05.44,05.46,05.47,05.49,05.51,05.54,05.57,05.59,06.01,06.03,06.05,06.09,06.12,06.15,06.17,06.19,06.21,06.22,06.24,06.27,06.29,06.31,06.35,06.37,06.39,06.41,06.43,06.45,06.48,06.50,06.53,06.55,05.10
Halte - Jl. Colombo (Panti Rapih),05.23,05.25,05.26,05.29,05.31,05.32,05.34,05.36,05.38,05.44,05.46,05.48,05.51,05.53,05.54,05.56,05.57,05.59,06.01,06.04,06.07,06.09,06.11,06.13,06.15,06.19,06.22,06.25,06.27,06.29,06.31,06.32,06.34,06.37,06.39,06.41,06.45,06.47,06.49,06.51,06.53,06.55,06.58,07.00,07.03,07.05,05.20
Halte - Vokasi Ugm,05.33,05.35,05.36,05.39,05.41,05.42,05.44,05.46,05.48,05.54,05.56,05.58,06.01,06.03,06.04,06.06,06.07,06.09,06.11,06.14,06.17,06.19,06.21,06.23,06.25,06.29,06.32,06.35,06.37,06.39,06.41,06.42,06.44,06.47,06.49,06.51,06.55,06.57,06.59,07.01,07.03,07.05,07.08,07.10,07.13,07.15,05.30
Tpb - Fkg Ugm (Selatan Jalan),05.43,05.45,05.46,05.49,05.51,05.52,05.54,05.56,05.58,06.04,06.06,06.08,06.11,06.13,06.14,06.16,06.17,06.19,06.21,06.24,06.27,06.29,06.31,06.33,06.35,06.39,06.42,06.45,06.47,06.49,06.51,06.52,06.54,06.57,06.59,07.01,07.05,07.07,07.09,07.11,07.13,07.15,07.18,07.20,07.23,07.25,05.40
Halte - Rsup Dr. Sardjito,05.53,05.55,05.56,05.59,06.01,06.02,06.04,06.06,06.08,06.14,06.16,06.18,06.21,06.23,06.24,06.26,06.27,06.29,06.31,06.34,06.37,06.39,06.41,06.43,06.45,06.49,06.52,06.55,06.57,06.59,07.01,07.02,07.04,07.07,07.09,07.11,07.15,07.17,07.19,07.21,07.23,07.25,07.28,07.30,07.33,07.35,05.50
Tpb - Mm Ep Ugm,06.03,06.05,06.06,06.09,06.11,06.12,06.14,06.16,06.18,06.24,06.26,06.28,06.31,06.33,06.34,06.36,06.37,06.39,06.41,06.44,06.47,06.49,06.51,06.53,06.55,06.59,07.02,07.05,07.07,07.09,07.11,07.12,07.14,07.17,07.19,07.21,07.25,07.27,07.29,07.31,07.33,07.35,07.38,07.40,07.43,07.45,06.00
Tpb - Hotel Vidi Jakal,06.13,06.15,06.16,06.19,06.21,06.22,06.24,06.26,06.28,06.34,06.36,06.38,06.41,06.43,06.44,06.46,06.47,06.49,06.51,06.54,06.57,06.59,07.01,07.03,07.05,07.09,07.12,07.15,07.17,07.19,07.21,07.22,07.24,07.27,07.29,07.31,07.35,07.37,07.39,07.41,07.43,07.45,07.48,07.50,07.53,07.55,06.10
Superindo Kaliurang 2,06.23,06.25,06.26,06.29,06.31,06.32,06.34,06.36,06.38,06.44,06.46,06.48,06.51,06.53,06.54,06.56,06.57,06.59,07.01,07.04,07.07,07.09,07.11,07.13,07.15,07.19,07.22,07.25,07.27,07.29,07.31,07.32,07.34,07.37,07.39,07.41,07.45,07.47,07.49,07.51,07.53,07.55,07.58,08.00,08.03,08.05,06.20
Pasar Kolombo 2,06.33,06.35,06.36,06.39,06.41,06.42,06.44,06.46,06.48,06.54,06.56,06.58,07.01,07.03,07.04,07.06,07.07,07.09,07.11,07.14,07.17,07.19,07.21,07.23,07.25,07.29,07.32,07.35,07.37,07.39,07.41,07.42,07.44,07.47,07.49,07.51,07.55,07.57,07.59,08.01,08.03,08.05,08.08,08.10,08.13,08.15,06.30
Terminal Bangunan,06.43,06.45,06.46,06.49,06.51,06.52,06.54,06.56,06.58,07.04,07.06,07.08,07.11,07.13,07.14,07.16,07.17,07.19,07.21,07.24,07.27,07.29,07.31,07.33,07.35,07.39,07.42,07.45,07.47,07.49,07.51,07.52,07.54,07.57,07.59,08.01,08.05,08.07,08.09,08.11,08.13,08.15,08.18,08.20,08.23,08.25,06.40
Simpang Kaliurang 2,06.53,06.55,06.56,06.59,07.01,07.02,07.04,07.06,07.08,07.14,07.16,07.18,07.21,07.23,07.24,07.26,07.27,07.29,07.31,07.34,07.37,07.39,07.41,07.43,07.45,07.49,07.52,07.55,07.57,07.59,08.01,08.02,08.04,08.07,08.09,08.11,08.15,08.17,08.19,08.21,08.23,08.25,08.28,08.30,08.33,08.35,06.50
Kantor Kecamatan Ngaglik,07.03,07.05,07.06,07.09,07.11,07.12,07.14,07.16,07.18,07.24,07.26,07.28,07.31,07.33,07.34,07.36,07.37,07.39,07.41,07.44,07.47,07.49,07.51,07.53,07.55,07.59,08.02,08.05,08.07,08.09,08.11,08.12,08.14,08.17,08.19,08.21,08.25,08.27,08.29,08.31,08.33,08.35,08.38,08.40,08.43,08.45,07.00
Puskesmas Ngaglik 2,07.13,07.15,07.16,07.19,07.21,07.22,07.24,07.26,07.28,07.34,07.36,07.38,07.41,07.43,07.44,07.46,07.47,07.49,07.51,07.54,07.57,07.59,08.01,08.03,08.05,08.09,08.12,08.15,08.17,08.19,08.21,08.22,08.24,08.27,08.29,08.31,08.35,08.37,08.39,08.41,08.43,08.45,08.48,08.50,08.53,08.55,07.10
Smp N 2 Ngaglik 2,07.23,07.25,07.26,07.29,07.31,07.32,07.34,07.36,07.38,07.44,07.46,07.48,07.51,07.53,07.54,07.56,07.57,07.59,08.01,08.04,08.07,08.09,08.11,08.13,08.15,08.19,08.22,08.25,08.27,08.29,08.31,08.32,08.34,08.37,08.39,08.41,08.45,08.47,08.49,08.51,08.53,08.55,08.58,09.00,09.03,09.05,07.20
