rank,origin_stop_id,origin_stop_name,depart_hhmm,day_name,poi_id,name,type,rating,vote_count,lat,lon,nearest_stop_id,nearest_stop_name,walk_dist_m,walk_time_min,path_type,route_path_dirs,route_path_labels,route_path_text,transfer_stop_ids,transfer_stop_names,transfer_stop_names_text,transfers,board_wait_total_min,transfer_extra_min,in_vehicle_min,transit_eta_min,eta_total_min,arrival_hhmm,open_hhmm,close_hhmm,open_days,hours_source_type,needs_review,is_open_on_day,is_open_on_arrival,can_visit_min_stay,visit_margin_min,score_eta,score_walk,score_transfers,score_operating_margin,score_rating,score_popularity,recommendation_score,recommendation_reason,scenario_id,preferred_types_text
1,HT_110,Malioboro 1,09:00,Sabtu,315,Malioboro,"Buatan, Budaya dan Sejarah",4.7,3752.0,-7.7982487,110.3652793,HT_112,Malioboro 3,186.212970144772,2.32766212680965,direct,['10_0'],['10'],10,[],[],,0,7.5,0.0,4.0,11.5,13.82766212680965,09:14,00:00,23:59,24 jam,wisata_jogja_csv,0,1,1,1,885.1723378731904,0.8625671224428919,0.8473360418591767,1.0,1.0,0.925,0.7186584884273449,0.8997986256482147,"ETA total 13.8 menit, tanpa transit, jalan kaki akhir 186 m dari Malioboro 3, tiba 09:14, buka 00:00–23:59, naik 10.",malioboro_umum_sabtu_0900,semua kategori
2,HT_110,Malioboro 1,09:00,Sabtu,13,Museum Benteng Vredeburg,Budaya dan Sejarah,4.6,15279.0,-7.799287456,110.3661757,HT_112,Malioboro 3,146.5346532221909,1.8316831652773864,direct,['10_0'],['10'],10,[],[],,0,7.5,0.0,4.0,11.5,13.331683165277386,09:13,08:00,20:00,Selasa–Minggu,wisata_jogja_csv,0,1,1,1,646.6683168347226,0.868274669617555,0.8853087943526377,1.0,0.8333558103902291,0.8999999999999999,0.8525269902932129,0.8969198237903553,"ETA total 13.3 menit, tanpa transit, jalan kaki akhir 147 m dari Malioboro 3, tiba 09:13, buka 08:00–20:00, naik 10.",malioboro_umum_sabtu_0900,semua kategori
3,HT_110,Malioboro 1,09:00,Sabtu,335,Pasar Kembang,Desa Wisata,4.2,793.0,-7.7899242,110.3651209,HT_110,Malioboro 1,150.79287383777944,1.884910922972243,walk_only,[],[],walk_only,[],[],,0,0.0,0.0,0.0,0.0,1.884910922972243,09:02,08:00,17:00,Setiap hari,wisata_jogja_csv,0,1,1,1,478.11508907702773,1.0,0.8812336124891077,1.0,0.4503233361118792,0.8,0.5705603354192821,0.8798070728799736,"ETA total 1.9 menit, tanpa transit, jalan kaki akhir 151 m dari Malioboro 1, tiba 09:02, buka 08:00–17:00, cukup berjalan kaki dari halte asal.",malioboro_umum_sabtu_0900,semua kategori
4,HT_110,Malioboro 1,09:00,Sabtu,12,Masjid Gedhe Kauman,Budaya dan Sejarah,4.8,9784.0,-7.802697521,110.3625956,HT_075,KHA Dahlan - A,313.703245147686,3.921290564346075,direct,['10_0'],['10'],10,[],[],,0,7.5,0.0,6.0,13.5,17.421290564346076,09:17,00:00,23:59,24 jam,wisata_jogja_csv,0,1,1,1,881.5787094356539,0.8212129412653596,0.7253259105460259,1.0,1.0,0.95,0.8100306449853498,0.8679912438013485,"ETA total 17.4 menit, tanpa transit, jalan kaki akhir 314 m dari KHA Dahlan - A, tiba 09:17, buka 00:00–23:59, naik 10.",malioboro_umum_sabtu_0900,semua kategori
5,HT_110,Malioboro 1,09:00,Sabtu,46,Jogja National Museum,"Museum, Budaya dan Sejarah",4.6,5041.0,-7.8001175,110.3534164,HT_147,Pasar Serangan - A,142.6935420729868,1.783669275912335,direct,['13_0'],['13'],13,[],[],,0,7.5,0.0,12.0,19.5,21.283669275912334,09:21,08:00,20:00,Selasa–Minggu,wisata_jogja_csv,0,1,1,1,638.7163307240877,0.776766078772293,0.8889847961158475,1.0,0.8152851453789237,0.8999999999999999,0.7468099251292143,0.8585340975878252,"ETA total 21.3 menit, tanpa transit, jalan kaki akhir 143 m dari Pasar Serangan - A, tiba 09:21, buka 08:00–20:00, naik 13.",malioboro_umum_sabtu_0900,semua kategori
6,HT_110,Malioboro 1,09:00,Sabtu,324,Nol Kilometer Jl.Malioboro,Lainnya,4.7,565.0,-7.8013803,110.3647652,HT_112,Malioboro 3,166.58787159906905,2.082348394988363,direct,['10_0'],['10'],10,[],[],,0,7.5,0.0,4.0,11.5,13.582348394988363,09:14,08:00,17:00,Setiap hari,wisata_jogja_csv,0,1,1,1,466.41765160501166,0.865390104475511,0.8661175595125037,1.0,0.4237412381169148,0.925,0.5382858246513892,0.8378984635131905,"ETA total 13.6 menit, tanpa transit, jalan kaki akhir 167 m dari Malioboro 3, tiba 09:14, buka 08:00–17:00, naik 10.",malioboro_umum_sabtu_0900,semua kategori
7,HT_110,Malioboro 1,09:00,Sabtu,332,Candi Donotirto,Lainnya,4.4,213.0,-7.7955613,110.3612095,HT_143,Pasar Pathuk,86.86678014603726,1.0858347518254656,direct,['L-1_0'],['L-1'],L-1,[],[],,0,7.5,0.0,8.0,15.5,16.585834751825466,09:17,08:00,17:00,Setiap hari,wisata_jogja_csv,0,1,1,1,463.4141652481745,0.8308270657184944,0.9424118559707221,1.0,0.41691589975926313,0.8500000000000001,0.4455479908354407,0.8282408337133156,"ETA total 16.6 menit, tanpa transit, jalan kaki akhir 87 m dari Pasar Pathuk, tiba 09:17, buka 08:00–17:00, naik L-1.",malioboro_umum_sabtu_0900,semua kategori
8,HT_110,Malioboro 1,09:00,Sabtu,103,Pangurakan Gate,Lainnya,4.6,163.0,-7.8015969,110.3646114,HT_112,Malioboro 3,193.43365989848294,2.417920748731037,direct,['10_0'],['10'],10,[],[],,0,7.5,0.0,4.0,11.5,13.917920748731037,09:14,08:00,17:00,Setiap hari,wisata_jogja_csv,0,1,1,1,466.08207925126896,0.8615284587444462,0.8404257319943524,1.0,0.4229786593715332,0.8999999999999999,0.42017479696975624,0.8229267127450678,"ETA total 13.9 menit, tanpa transit, jalan kaki akhir 193 m dari Malioboro 3, tiba 09:14, buka 08:00–17:00, naik 10.",malioboro_umum_sabtu_0900,semua kategori
9,HT_110,Malioboro 1,09:00,Sabtu,98,Gereja Sayidan,Lainnya,4.2,616.0,-7.8035488,110.3698419,HT_089,Katamso,114.9863851046879,1.4373298138085988,direct,['2A_0'],['2A'],2A,[],[],,0,7.5,0.0,9.0,16.5,17.9373298138086,09:18,08:00,17:00,Setiap hari,wisata_jogja_csv,0,1,1,1,462.06267018619144,0.8152745475254601,0.9155009665448386,1.0,0.41384466520355034,0.8,0.546512025541429,0.8171563527403051,"ETA total 17.9 menit, tanpa transit, jalan kaki akhir 115 m dari Katamso, tiba 09:18, buka 08:00–17:00, naik 2A.",malioboro_umum_sabtu_0900,semua kategori
10,HT_110,Malioboro 1,09:00,Sabtu,141,Kampung Wisata Sosromenduran,Lainnya,4.0,36.0,-7.79219,110.362151,HT_230,Sosrowijayan,60.2166404226106,0.7527080052826325,direct,['L-1_0'],['L-1'],L-1,[],[],,0,7.5,0.0,9.0,16.5,17.25270800528263,09:17,08:00,17:00,Setiap hari,wisata_jogja_csv,0,1,1,1,462.74729199471733,0.8231529286102006,0.9679164448273606,1.0,0.415400449027765,0.75,0.2782055438904824,0.812137136076343,"ETA total 17.3 menit, tanpa transit, jalan kaki akhir 60 m dari Sosrowijayan, tiba 09:17, buka 08:00–17:00, naik L-1.",malioboro_umum_sabtu_0900,semua kategori
